"","x"
"1339","MED4"
"1340","SAP30BP"
"1341","BRD7"
"1342","ABT1"
"1343","ZDHHC1"
"1344","GRHL1"
"1345","TFCP2L1"
"1346","TFPT"
"1347","UBN1"
"1348","CNOT7"
"1349","RBM15B"
"1350","SERTAD3"
"1351","DNMT3L"
"1352","SERTAD1"
"1353","LASS2"
"1354","NRBF2"
"1355","BAZ2B"
"1356","TBX21"
"1357","TLX3"
"1358","RAX"
"1359","SOX8"
"1360","VSX1"
"1361","KCNIP3"
"1362","CXXC1"
"1363","ZNF354C"
"1364","ZNRD1"
"1365","TAX1BP3"
"1366","ZNF295"
"1367","NEUROG3"
"1368","MYEF2"
"1369","IRX4"
"1370","RNF141"
"1371","FOXP3"
"1372","TBX22"
"1373","MED31"
"1374","ASCC1"
"1375","BOLA1"
"1376","ZNF593"
"1377","ZBTB7B"
"1378","POLR1D"
"1379","MLXIPL"
"1380","YBX2"
"1381","ZDHHC9"
"1382","ASB3"
"1383","RNF12"
"1384","ING4"
"1385","ZNF580"
"1386","LEF1"
"1387","ZNF639"
"1388","ZDHHC2"
"1389","ZNF219"
"1390","TCEB3B"
"1391","PHF20"
"1392","TFDP3"
"1393","KLF3"
"1394","ZNF571"
"1395","SCAND1"
"1396","PHF21A"
"1397","ZBTB7A"
"1398","ZNF589"
"1399","LW-1"
"1400","ZNF588"
"1401","VGLL1"
"1402","PRRX2"
"1403","SFMBT1"
